username,handle,postDate,responding,retweets,likes
Guille,@GGToppi,2021-11-13T13:37:34.000Z,Sigo a todas las cuentas de asado en Ig...y el algoritmo hace su trabajo luego ,,
Alexandra Gavi,@alexangavi,2021-10-29T20:13:56.000Z,"Replying to 
@JOSEESCAURIZA",,1
Ṡ ѻ ɭ,@ibarrasolpv_,2021-10-27T00:38:38.000Z,"Nunca voy a terminar de agradecer al algoritmo de YouTube por ponerme en frente tu vídeo, una niña con hermosos rulos y bonita sonrisa, haciendo llamada a sus haters, quien iba a creer que ahora, tantos años después te admiraría tanto y estaría tan orgullosa de vos +",,
Giuliano Alsina,@giualsina,2021-10-25T11:02:23.000Z,A veces me da miedo el algoritmo,1,1
Patricia Camp,@CapitanaPat,2021-09-27T19:41:29.000Z,"Replying to 
@AnQuaDaz",,1
MaCG,@Macantegao,2021-09-09T18:26:44.000Z,"Replying to 
@VarskySports",,
Meet Gon Black?,@Gon_cristal2,2021-09-01T04:08:21.000Z,Ayer tuve mi revancha con Algoritmo y no puedo explicar lo satisfactorio que fue,,
Reginald Hargreaves,@Radditzpy,2021-08-27T15:04:42.000Z,"Replying to 
@CandadiniOK
 and 
@vinitoyquesito",1,
miguel angel franco,@83_kelimig,2021-08-25T22:34:59.000Z,Algoritmo diagnóstico....,3,7
Gustavo Molinas,@GustavoAdrian94,2021-08-19T19:19:09.000Z,"Regla importante si estudian alguna ingeniería, nunca digan que algoritmo y programación no les va servir nunca",4,10
Nico Mendoza,@nicomen31,2021-07-27T19:26:05.000Z,"Replying to 
@GooseNBK
 and 
@livmediapy",,1
C4yoC4,@CayoC4,2021-07-14T19:08:42.000Z,Jjaaaajaaa...el algoritmo de Google translator okañy gueterí hina,,
Rossy,@rossy_maldonado,2021-07-07T23:37:23.000Z,"Replying to 
@theeagereyes
 and 
@Gabise18",,1
Meet Gon Black?,@Gon_cristal2,2021-06-26T18:27:31.000Z,"Yo literalmente con Algoritmo, inaguantable ko va a ser si vuelvo a llevar qué puta",,1
Meet Gon Black?,@Gon_cristal2,2021-06-23T05:49:16.000Z,"Replying to 
@laurengarayo",,
Meet Gon Black?,@Gon_cristal2,2021-06-22T14:15:55.000Z,"Mi cerebro ya está de vacaciones, cómo le hago entender que todavía no pasé algoritmo?",1,7
Nico,@nicocasabianca,2021-06-21T15:49:43.000Z,"Mi vida manejan:
El algoritmo de Spotify,
El algoritmo de Instagram,
Y mi estómago. 

Me falta el chip de la vacuna y tengo la vida resuelta.",1,12
Meet Gon Black?,@Gon_cristal2,2021-06-16T21:52:01.000Z,Una materia de mierda nm ya me sobra ALGORITMO hdp,1,1
Martín,@MartinMaldo_96,2021-06-15T23:07:59.000Z,Instant Crush de fondo mientras hago una pausa para seguir entrenando. Maldito seas algoritmo de YouTube,,
pablo avila,@_pabloavila2,2021-06-11T16:18:56.000Z,Para cuando el algoritmo que prohiba la publicidad política en redes sociales?,,3
Meet Gon Black?,@Gon_cristal2,2021-06-02T22:05:48.000Z,"Me declaro fan de mi profe de Algoritmo, todos los días anga le rompo las pelotas y había un error en mi sistema que no encontraba.
Entra en el Meet y transmitime la pantalla ko me dijoo, NADIE NINGÚN PROFE NUNCA, le amo.",,2
