username,handle,postDate,responding,retweets,likes
Ro Daniel,@rodanielolmedo,2021-08-01T02:29:16.000Z,Sábado tomando té y mirando Mr Robot ,,
Pana,@panagadea,2021-07-29T12:05:07.000Z,No hace ko frío he'í pero parece robot caminando con tanto abrigo puesto.,,
Tatiana Tami,@la_duenda1617,2021-07-26T13:57:54.000Z,"Replying to 
@tomoshi_py",,
Pana,@panagadea,2021-07-19T12:40:07.000Z,Parezco robot con toda la ropa  que tengo puesta para abrigarme.,,
Nicolas Alfonso,@NicolasAlfonsog,2021-07-19T02:06:31.000Z,"Replying to 
@judge_robot
 and 
@Juristanloqcido",,
clau,@clauditasave,2021-07-18T23:43:20.000Z,"Replying to 
@Nodelia01",,1
Raúl Melamed,@raulmelamed,2021-07-15T00:37:45.000Z,"Replying to 
@edu_nakayama",17,62
Lu,@lubenitezpy,2021-07-07T17:00:46.000Z,"Alguien sabe cuando Asena le va a pagar a sus robots

#babaolmak",,
Sol V,@solvelilla,2021-07-06T22:49:33.000Z,"Replying to 
@alethiaduisberg
 and 
@AlmironLaurii",,1
JoLuJiRo,@jolujiro,2021-06-29T17:56:32.000Z,"#Ereshkigal asesina de Chanchos Robot, alto carrito por el evento  
@lalex013
 

#FateGrandOrder #GudaGudaFinalHonnouji #LancerClassServant #KurKigalIrkalla en Barrio Sajonia https://instagram.com/p/CQtpZrHDTpE/?utm_medium=twitter…",,
Ratun Montón usease The Punisher,@blogdepunisher,2021-06-25T14:13:22.000Z,"De los creadores de ""Spider Dog"",  acabo de descubrir a ""Robot Cat"" https://youtu.be/eR4ONFx3Y6c",,
Armando Rubin,@armandorubin,2021-06-17T13:35:04.000Z,"Astro
Robot que atiende mesas en Miami 
Sabe donde están ubicadas las mesas 
Por  falta de personal",,
Ada Benitez,@adita_roman,2021-05-19T14:31:13.000Z,"Replying to 
@laburosdemierda
 and 
@JOSEESCAURIZA",,6
Chale,@Ovvlex,2021-05-16T17:23:33.000Z,"Estuvo bueno este nuevo volumen de Love, death & robots, pero un episodio estuve flojito, normal por ahí.",,1
clau,@clauditasave,2021-05-14T14:18:13.000Z,"Yo quería desayunar en silencio  y con Love, Death & Robots, pero los gatos eligieron el camino del parkour",,1
Ronald Rolón Cabral,@Ronald_Rolon,2021-05-03T12:23:52.000Z,"Replying to 
@Idesa_py",,
Milva Gauto,@MilvaGauto,2021-05-02T05:34:06.000Z,"Es que los robots no se embarazan, no presentan reposo, no tienen problemas de llegar aunque caiga nieve y encima no pagan impuestos. Prefieren invertir en máquinas, deshumanizar y empobrecer cada vez más.",,4
Milva Gauto,@MilvaGauto,2021-05-02T05:22:41.000Z,"Ni soñando van a superar a las manos humanas..
Siguen con los robots para desemplear a peluqueras y no pagar impuestos, les pillé pillín !",4,39
Antonio Amarilla J,@zp5paa,2021-04-28T18:29:07.000Z,Robot that can cook a paella is causing quite a stir in Spain https://theguardian.com/world/2021/apr/28/robot-that-can-cook-paella-causing-stir-spain-mimcook-br5?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1619618320… https://amp.theguardian.com/world/2021/apr/28/robot-that-can-cook-paella-causing-stir-spain-mimcook-br5?utm_term=Autofeed&CMP=twt_gu&utm_medium=&utm_source=Twitter&__twitter_impression=true…,,
D L,@jlezcano13,2021-04-24T12:32:32.000Z,"Top5 de las mejores series que vieron:
1 - Breaking Bad
2 - Game of Thrones
3 - Sons of Anarchy
4-  mr robot
5-  TWD",,
zuni,@zunildag1,2021-04-21T06:57:41.000Z,Los robots que podrían asumir tareas básicas de atención médica para respaldar el trabajo de médicos y enfermeras pueden ser el camino del futuro https://techxplore.com/news/2021-02-current-pandemic-highlights-remote-healthcare.amp?__twitter_impression=true…,,1
Pati R.,@PatyRom05662642,2021-04-20T09:59:45.000Z,"En Ruanda, hasta tienen doctores robots, para cuidar a su primera línea. Ellos tienen 12 millones de habitantes y llegaron a 370 fallecidos. Un país africano, pobre que está llevando mejor esta pandemia que nuestro país. 
@oscar_marandu
 @LuisBareiro
 @Santula
 @yolandapark1",,1
𝓥 𝓲 𝓬 𝓽 𝓸 𝓻 𝓑 𝓻 𝓲 𝓽𝓮𝔃 𝓒.,@victorbritezc78,2021-04-13T05:50:14.000Z,"Hasbro Pulse Optimus Prime Auto-Converting Programmable Advanced Robot https://youtu.be/JmlQSegO5pM vía 
@YouTube",,1
Ludicos Ecologicos Paraguay,@ludicos_py,2021-04-10T16:45:20.000Z,"Simpáticos robots de madera también ""invaden"" la feria artesanal del SuperSeis Japón av Félix Bogado !!! Venite que hay de todo para todos !!! #Creatividad #DetallesQueEncantan 
Estamos hasta las 20 hrs",,
