postDate,responding
2020-09-09T17:35:36.000Z,El proyecto digitalización del @registrocivilpy es un proyecto elaborado por esa institución y avalado por el @MJusticiaPy quien solicita al @Miticpy su inclusión en la Agenda Digital. El Equipo técnico del MITIC sólo evalúa que la tecnología propuesta sea acorde. [HILO]
2020-09-05T20:41:23.000Z,Alguien debería demandarle a Peralta Vierci por el papelón del MITIC. En todo caso que ponga de su bolsillo lo que se perdió bajo su gestión. Que carajos les pasa a Uds que piensan hacer vito del dinero público. En  estarías fuera y procesado por la justicia. @SergioCoscia
2020-09-04T02:04:45.000Z,Cc: Alejandro Peralta Vierci (MITIC) y al farandulero Lucas Balmelli.
2020-07-12T16:17:59.000Z,funcionario-del-mitic-da-positivo-a-coronavirus-y-piden-autorreporte-de-contactos/
2020-07-10T23:03:15.000Z,un-segundo-contagiado-de-coronavirus-se-confirma-en-el-seno-del-mitic
2020-07-09T19:09:56.000Z,"#URGENTE Un funcionario de MITIC, con funciones en predio de la TV Pública, dio positivo a COVID19. Otros 6 funcionarios fueron sometidos a la prueba y se aguardan los resultados. MITIC decidió el cierre de esta dependencia por un plazo de 48 hs @Universo970py"
2020-06-29T23:42:23.000Z,"El Viceministro del MITIC, Martin disfrutando ayer en la Costanera, de un dia soleado y sin las precauciones ordenadas por el propio gobierno.Si ellos no cumplen con#quedateencasa.Como se le exige al comun que lo haga?."
2020-06-16T15:57:49.000Z,"El debate se desarrolla estudiantes, proveedoras, MEC, MH, MITIC, CONATEL. Uno de los pytos fue presentado por @LilianSamaniego quien dijo q tiene por objetivo incentivar mediante del acceso gratuito a internet el uso de plataformas online p/capacitaciones, formación y educación"""
2020-04-21T04:28:02.000Z,Cuanto lo que cuesta tenerles en el MITIC?
2020-04-20T03:13:49.000Z,"Según dijo hoy Carla Bacigalupo, el sector textil se levantó y está mejor que antes por la posibilidad de hacer tapabocas. Asusta lo desorientadas que están las carteras de Trabajo, Industria y Comecio, Educación y el MITIC en el momento en que más se necesitan sus acciones."
2020-04-18T12:04:13.000Z,"Ya tienen MITIC, por eso no les afecta mucho.Pero la justicia tarda , pero llega !!!! "
2020-04-16T13:51:12.000Z,"Viceministro de @Miticpy, @mmartinpy. Mitic sigue  desarrollando nuevas funcionalidades de plataforma virtual  para realizar un seguimiento eficiente y cercano a las personas que deben guardar cuarentena por #COVID19 en Paraguay.  http://bit.ly/3d9UVQj"
2020-04-15T00:35:40.000Z,"Fundación Paraguaya ofreció canal online para desarrollar contenido gratuito pero recibió ""portazo"" del MEC y MITIC.https://hoy.com.py/nacionales/fundacion-ofrecio-canal-online-para-desarrollar-contenido-gratuito-pero-recibio-portazo-del-mec-y-mitic…"
2020-04-10T02:26:46.000Z,Estos genios del mitic pío q carajo lo que hacen.. están más al pedo que Ariel oviedo
2020-04-07T23:02:54.000Z,Nos ayudamos todos! Entregamos en prestamo a la UNA nuestra impresora 3D con sus insumos para apoyar el trabajo que vienen realizando en la producción de protectores para el personal sanitario. #mitic #covid-19
2020-01-07T09:55:48.000Z,"MITIC ""Automatiza"" notificacion de indicadores de incidentes ""cibernéticos""  muy 1996 es su título (?)"
2019-12-18T11:18:27.000Z,Con las capacitaciones que estamos brindando en varía áreas de tecnología en el Chaco buscamos reducir la brecha digital dando las mismas herramientas y conocimientos a todos los paraguayos sobre todo a aquellos que por años han estado olvidados! #mitic https://lanacion.com.py/pais/2019/12/17/brindan-capacitaciones-en-alfabetizacion-digital-y-robotica-en-el-chaco/…
2019-11-19T21:55:01.000Z,"Participando como Copaco Vox en el lanzamiento Oficial del informativo de la OEA ^ OEA NEWS""  con la presencia del Secretario General de la OEA,   Dr Luis Almagro y del Ministro MITIC Alejandro Peralta Vierci. El mismo se podra ver en el canal 17 CANAL U del Iptv de Copaco."
2019-11-19T15:51:33.000Z,"Se realizó el lanzamiento del informativo de la @OEA_oficial y la firma del convenio con la Unión de Radiodifusores del Paraguay, en donde asistieron el Ministro del MITIC, Alejandro Peralta, el secretario General de la OEA, Dr. Luis Almagro y otras autoridades "
2019-11-16T18:54:45.000Z,"Yo no comprendo, el MITIC les abre las puertas y literalmente te cagas en ellos por la firma que finalmente si pudiste corroborar? Trabajen juntos loco, no hace falta dividir más el país."
2019-11-05T12:02:15.000Z,Denuncian improvisación y arbitrariedad en la conducción del MITIC
2019-10-25T15:28:47.000Z,Protesta pacífica por las reivindicaciones de los empleados de Radio Nacional del Paraguay.Ollas populares para compartir Muchos de ellos no llegan al salario mínimo.Mientras el MITIC premia con jugosos salarios a los funcionarios Vip.
2019-09-25T11:39:32.000Z,"Con relación a publicaciones realizadas respecto a temas salariales, desde MITIC aclaramos cuanto sigue:"
2019-08-27T14:44:44.000Z,Explicamos a la sociedad en qué estamos trabajando para transformar el sistema de salud con tecnología. En unos meses inauguramos los primeros hospitales conectados y equipados. #mitic #paraguaydelagente
2019-08-07T14:31:42.000Z,"Según trascendidos se daría cambio de Ministro en MITIC, motivo: por mal manejo de la crisis desatada mientras Peralta Vierci se encontraba en punta del Este, el sucesor sería Miguel Martin es el ahijado de Benigno Lopez. Y es resistido por los funcionarios de la cartera."
2019-08-01T04:28:52.000Z,Pero Mitic está con el metrob*... digo agenda digital. Eso sí es importante para ellos 
2019-07-25T00:21:01.000Z,"Son los estándares del Mitic, nos sometemos a lo que ellos nos permiten comprar, de hecho que nosotros ya pedimos cambios porque los componentes tienen que ser actualizados”  HAHAHAHAHAHAHAHAH"
2019-07-18T03:09:42.000Z,#pyelectrico avanza! #mitic #ParaguayDeLaGente
2019-06-15T13:09:23.000Z,http://kiyogroup.net/wsa/ #AgendaDigital  #mitic @Miticpy  se agradece la difusión del evento.
2019-06-12T13:20:21.000Z,"NACIONALES| El avión en donde viajaban los ministros Arnoldo Wiens (MOPC) y Alejandro Peralta Vierci (MITIC), tuvo que aterrizar de emergencia en La Paz debido a desperfectos mecánicos. http://venus.com.py/incidente-aereo-en-viaje-de-ministro-wiens-a-bolivia…"
2019-06-12T11:46:37.000Z,Tecnología en Europa  Super Computador MareNostrum 5 vrs Tecnologia en Paraguay  App para mirar los baches en la Mitic a desarrollarse
2019-06-05T13:31:23.000Z,Ha upei MITIC? Siguen manteniendo el curro?
2019-05-30T16:06:24.000Z,"Evento repleto! Más de 1000 personas insciptas al Segurinfo 2019! Como Gobierno  Nacional hemos dado grandes pasos en ciberseguridad, teniendo en cuenta además una inversión importante a realizar en el marco de la Agenda Digital. gracias a #Usuaria #OEA #RREE #mitic"
2019-05-27T23:42:40.000Z,"@Unicanal no es la CISOF la que está moviendo y forzando el tema de #Transparencia al #MITIC, es la comunidad informática paraguaya"
